metric,system,count,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms
Sensor to controller,ROS1,61,49.89561096566622,23.768186569213867,276.98445320129395,412.9483699798583,91.62456796103945
Sensor to controller,ROS2,7439,15.82416255462232,15.371084213256836,30.001235008239746,31.221003532409668,9.442619392211517
Controller to actuator,ROS1,307,2.8871790982224654,0.9872913360595703,12.366414070129391,22.30533123016357,5.339099842073871
Controller to actuator,ROS2,7449,16.243000097091702,16.19267463684082,17.26694107055664,18.430442810058583,0.6043374152704767
End to end,ROS1,61,54.85350186707544,26.26514434814453,295.34196853637695,421.06313705444325,92.21579611094074
End to end,ROS2,7436,32.068213735491184,32.18841552734375,46.22030258178711,47.50373363494873,9.575228219698534
