trace_id,sensor_to_controller_ms,controller_to_actuator_ms,end_to_end_ms
255,9.531259536743164,19.999980926513672,29.531240463256836
256,17.259836196899414,2.148151397705078,19.407987594604492
257,13.855695724487305,2.088308334350586,15.94400405883789
258,21.756649017333984,1.9326210021972656,23.68927001953125
259,6.418466567993164,1.6484260559082031,8.066892623901367
260,9.485006332397461,1.7786026000976562,11.263608932495117
261,18.257617950439453,2.261638641357422,20.519256591796875
262,20.261526107788086,2.5453567504882812,22.806882858276367
263,12.153148651123047,2.0089149475097656,14.162063598632812
264,19.90056037902832,2.9001235961914062,22.800683975219727
265,12.851715087890625,1.8780231475830078,14.729738235473633
266,17.423629760742188,1.8041133880615234,19.22774314880371
267,22.931575775146484,3.562450408935547,26.49402618408203
268,8.084774017333984,2.0728111267089844,10.157585144042969
269,20.971059799194336,2.110719680786133,23.08177947998047
270,27.382612228393555,4.123926162719727,31.50653839111328
271,13.283252716064453,2.4857521057128906,15.769004821777344
272,21.02971076965332,2.3555755615234375,23.385286331176758
273,8.585214614868164,1.3027191162109375,9.887933731079102
274,13.677358627319336,1.9683837890625,15.645742416381836
275,8.396625518798828,1.499176025390625,9.895801544189453
276,11.848211288452148,1.653432846069336,13.501644134521484
277,13.67950439453125,1.6338825225830078,15.313386917114258
278,6.850719451904297,1.5079975128173828,8.35871696472168
279,6.292581558227539,1.8455982208251953,8.138179779052734
280,18.227100372314453,2.057790756225586,20.28489112854004
281,21.554946899414062,2.1703243255615234,23.725271224975586
282,14.016389846801758,1.859903335571289,15.876293182373047
283,16.942262649536133,1.699686050415039,18.641948699951172
284,7.478952407836914,1.7058849334716797,9.184837341308594
285,18.941640853881836,2.078533172607422,21.020174026489258
286,25.365829467773438,1.9690990447998047,27.334928512573242
287,11.67607307434082,1.6939640045166016,13.370037078857422
288,11.394023895263672,1.2428760528564453,12.636899948120117
289,6.237268447875977,1.0256767272949219,7.262945175170898
290,11.409997940063477,1.9550323486328125,13.365030288696289
291,22.52054214477539,2.0389556884765625,24.559497833251953
293,6.090641021728516,1.6918182373046875,7.782459259033203
294,11.771678924560547,2.913951873779297,14.685630798339844
295,20.076990127563477,2.4063587188720703,22.483348846435547
296,19.948244094848633,2.4275779724121094,22.375822067260742
297,13.6260986328125,1.7731189727783203,15.39921760559082
298,17.5626277923584,2.085447311401367,19.648075103759766
299,7.06791877746582,1.7228126525878906,8.790731430053711
300,12.13836669921875,1.7175674438476562,13.855934143066406
301,13.128042221069336,1.8765926361083984,15.004634857177734
302,6.960153579711914,1.9626617431640625,8.922815322875977
303,11.847257614135742,19.899845123291016,31.747102737426758
304,17.580509185791016,1.8525123596191406,19.433021545410156
305,6.065845489501953,1.7361640930175781,7.802009582519531
306,23.194313049316406,2.0225048065185547,25.21681785583496
307,6.659269332885742,1.9383430480957031,8.597612380981445
308,22.37844467163086,2.557516098022461,24.93596076965332
309,12.195825576782227,1.9831657409667969,14.178991317749023
310,6.905555725097656,2.6094913482666016,9.515047073364258
311,6.1798095703125,2.1436214447021484,8.323431015014648
312,6.758689880371094,1.9030570983886719,8.661746978759766
313,13.245582580566406,2.077341079711914,15.32292366027832
