metric,statistic,ros1_ms,ros2_ms,ros2_minus_ros1_ms,ci95_low_ms,ci95_high_ms,ci_excludes_zero
Sensor to controller,Median,36.303603649139404,22.401797771453857,-13.901805877685547,-22.585665583610535,-3.771551847457888,True
Sensor to controller,P95,67.03754544258118,32.63444304466247,-34.40310239791871,-53.98336210846901,-8.550134927034415,True
Controller to actuator,Median,1.727294921875,10.761892795562744,9.034597873687744,7.955559492111206,9.983426034450531,True
Controller to actuator,P95,10.391235351562496,19.058762788772583,8.667527437210087,7.274026483297353,10.008000850677496,True
End to end,Median,39.21273946762085,33.233463764190674,-5.979275703430176,-14.347821772098541,3.7546601891517475,False
End to end,P95,71.45743727684021,50.452179908752434,-21.005257368087776,-39.68659123778343,4.615664154291124,False
