topic,system,mean_frequency_hz,mean_interarrival_jitter_ms
controller,ROS1,26.188213056964624,19.42442929020365
controller,ROS2,25.460933160732278,13.135642771438436
actuator,ROS1,26.191797431275766,20.433435014676657
actuator,ROS2,25.486761704033313,15.698115058477107
