metric,latency_ms
sensor_to_controller,7.93004035949707
sensor_to_controller,27.821063995361328
sensor_to_controller,13.90385627746582
sensor_to_controller,1.531839370727539
sensor_to_controller,20.449399948120117
sensor_to_controller,7.570981979370117
sensor_to_controller,27.603864669799805
sensor_to_controller,14.51420783996582
sensor_to_controller,35.22086143493652
sensor_to_controller,18.709421157836914
sensor_to_controller,7.456779479980469
sensor_to_controller,27.48847007751465
sensor_to_controller,15.023469924926758
sensor_to_controller,2.1991729736328125
sensor_to_controller,22.168874740600586
sensor_to_controller,7.308244705200195
sensor_to_controller,27.48847007751465
sensor_to_controller,14.13416862487793
sensor_to_controller,2.4497509002685547
sensor_to_controller,21.582365036010742
sensor_to_controller,7.790803909301758
sensor_to_controller,27.988910675048828
sensor_to_controller,13.257980346679688
sensor_to_controller,2.0422935485839844
sensor_to_controller,21.782398223876953
sensor_to_controller,7.698535919189453
sensor_to_controller,27.6792049407959
sensor_to_controller,13.498783111572266
sensor_to_controller,2.3839473724365234
sensor_to_controller,22.56464958190918
sensor_to_controller,8.027791976928711
sensor_to_controller,27.864933013916016
sensor_to_controller,13.774871826171875
sensor_to_controller,0.8645057678222656
sensor_to_controller,20.319700241088867
sensor_to_controller,6.737470626831055
sensor_to_controller,26.626110076904297
sensor_to_controller,14.186382293701172
sensor_to_controller,1.7764568328857422
sensor_to_controller,20.150423049926758
sensor_to_controller,8.041620254516602
sensor_to_controller,28.05495262145996
sensor_to_controller,15.040159225463867
sensor_to_controller,2.379179000854492
sensor_to_controller,22.154808044433594
sensor_to_controller,9.33074951171875
sensor_to_controller,29.16431427001953
sensor_to_controller,13.22174072265625
sensor_to_controller,1.859903335571289
sensor_to_controller,21.988391876220703
sensor_to_controller,8.178949356079102
sensor_to_controller,28.316736221313477
sensor_to_controller,14.13869857788086
sensor_to_controller,1.3158321380615234
sensor_to_controller,19.971609115600586
sensor_to_controller,7.277250289916992
sensor_to_controller,27.128219604492188
sensor_to_controller,14.731645584106445
sensor_to_controller,2.3114681243896484
sensor_to_controller,21.89922332763672
sensor_to_controller,8.396625518798828
sensor_to_controller,28.506755828857422
sensor_to_controller,14.760732650756836
sensor_to_controller,2.759218215942383
sensor_to_controller,21.893978118896484
sensor_to_controller,8.361577987670898
sensor_to_controller,28.0611515045166
sensor_to_controller,14.613866806030273
sensor_to_controller,2.0046234130859375
sensor_to_controller,20.84946632385254
sensor_to_controller,8.848190307617188
sensor_to_controller,28.85270118713379
sensor_to_controller,16.903162002563477
sensor_to_controller,2.164125442504883
sensor_to_controller,21.785974502563477
sensor_to_controller,8.31151008605957
sensor_to_controller,28.24091911315918
