topic,system,mean_frequency_hz,mean_interarrival_jitter_ms
controller,ROS1,29.905963192730923,4.654922051563887
controller,ROS2,22.90781061846099,22.024828037871238
actuator,ROS1,29.954485703174953,10.711953687242026
actuator,ROS2,22.901290481855167,23.83564527022666
