trace_id,sensor_to_controller_ms,controller_to_actuator_ms,end_to_end_ms,controller_receive_s,actuator_receive_s
34,41.26238822937012,7.087945938110352,48.35033416748047,1787558774.128809,1787558774.135897
35,27.21118927001953,7.797479629516602,35.00866889953613,1787558774.1479,1787558774.1556976
36,41.10980033874512,19.554615020751953,60.66441535949707,1787558774.1963613,1787558774.215916
37,28.128623962402344,19.88506317138672,48.01368713378906,1787558774.2160676,1787558774.2359526
38,40.58027267456055,14.58287239074707,55.16314506530762,1787558774.2616956,1787558774.2762785
39,30.602216720581055,11.771202087402344,42.3734188079834,1787558774.2840729,1787558774.295844
40,41.10074043273926,6.920099258422852,48.02083969116211,1787558774.3289187,1787558774.3358388
41,29.810667037963867,5.831241607666016,35.64190864562988,1787558774.350047,1787558774.3558784
42,41.60904884338379,19.773244857788086,61.382293701171875,1787558774.3961577,1787558774.415931
43,29.072284698486328,19.311189651489258,48.383474349975586,1787558774.4163735,1787558774.4356847
44,40.73357582092285,14.035463333129883,54.769039154052734,1787558774.4620588,1787558774.4760942
45,28.767824172973633,12.52436637878418,41.29219055175781,1787558774.4831057,1787558774.49563
46,40.38667678833008,7.55620002746582,47.9428768157959,1787558774.5281916,1787558774.5357478
47,29.710054397583008,5.2013397216796875,34.911394119262695,1787558774.550661,1787558774.5558624
48,40.311336517333984,20.77198028564453,61.083316802978516,1787558774.595316,1787558774.616088
49,28.30028533935547,20.33519744873047,48.63548278808594,1787558774.6155143,1787558774.6358495
50,39.54195976257324,14.104366302490234,53.64632606506348,1787558774.6622488,1787558774.6763532
51,29.15191650390625,11.061668395996094,40.213584899902344,1787558774.684841,1787558774.6959026
52,40.95268249511719,5.634784698486328,46.587467193603516,1787558774.7302341,1787558774.735869
53,28.66673469543457,5.5522918701171875,34.21902656555176,1787558774.7501776,1787558774.75573
54,40.756940841674805,0.8947849273681641,41.65172576904297,1787558774.7952335,1787558774.7961283
55,26.43871307373047,20.62845230102539,47.06716537475586,1787558774.815108,1787558774.8357365
56,40.749311447143555,13.150930404663086,53.90024185180664,1787558774.862734,1787558774.875885
57,28.043270111083984,12.921333312988281,40.964603424072266,1787558774.8827202,1787558774.8956416
58,42.66071319580078,4.898309707641602,47.55902290344238,1787558774.9317374,1787558774.9366357
59,32.183170318603516,2.389192581176758,34.57236289978027,1787558774.9535947,1787558774.9559839
60,47.6531982421875,10.213375091552734,57.866573333740234,1787558775.00595,1787558775.0161633
61,35.27331352233887,7.8563690185546875,43.129682540893555,1787558775.0281348,1787558775.0359912
62,46.39029502868652,4.446506500244141,50.836801528930664,1787558775.0720823,1787558775.0765288
63,29.9985408782959,2.1462440490722656,32.144784927368164,1787558775.093391,1787558775.0955372
64,40.91167449951172,3.4046173095703125,44.31629180908203,1787558775.1323977,1787558775.1358023
65,27.974605560302734,3.078937530517578,31.053543090820312,1787558775.1525006,1787558775.1555796
66,40.148019790649414,20.319700241088867,60.46772003173828,1787558775.1958308,1787558775.2161505
67,27.574539184570312,20.919322967529297,48.49386215209961,1787558775.2153323,1787558775.2362516
68,40.28153419494629,13.559103012084961,53.84063720703125,1787558775.2628334,1787558775.2763925
69,28.106212615966797,12.977361679077148,41.083574295043945,1787558775.2827716,1787558775.295749
70,40.318965911865234,3.5212039947509766,43.84016990661621,1787558775.3321447,1787558775.335666
71,27.56190299987793,3.768444061279297,31.330347061157227,1787558775.3521092,1787558775.3558776
72,40.30275344848633,19.33908462524414,59.64183807373047,1787558775.3965425,1787558775.4158816
73,29.981136322021484,17.50779151916504,47.48892784118652,1787558775.4183714,1787558775.4358792
74,40.49038887023926,11.550426483154297,52.040815353393555,1787558775.4644575,1787558775.476008
75,31.098127365112305,8.528947830200195,39.6270751953125,1787558775.4871318,1787558775.4956608
76,40.511369705200195,7.033109664916992,47.54447937011719,1787558775.5287948,1787558775.5358279
77,30.063867568969727,5.311727523803711,35.37559509277344,1787558775.550728,1787558775.5560398
78,46.05889320373535,12.701272964477539,58.76016616821289,1787558775.603475,1787558775.6161764
79,33.76269340515137,11.701345443725586,45.46403884887695,1787558775.6245275,1787558775.6362288
80,45.80354690551758,4.488706588745117,50.292253494262695,1787558775.671673,1787558775.6761618
81,28.974533081054688,2.900362014770508,31.874895095825195,1787558775.6929102,1787558775.6958106
82,44.81196403503418,17.896175384521484,62.708139419555664,1787558775.7382267,1787558775.7561228
83,29.80184555053711,18.003463745117188,47.8053092956543,1787558775.7584846,1787558775.776488
84,42.372703552246094,16.222476959228516,58.59518051147461,1787558775.7998466,1787558775.8160691
85,30.290603637695312,12.809276580810547,43.09988021850586,1787558775.823086,1787558775.8358953
86,42.49215126037598,7.859945297241211,50.35209655761719,1787558775.8687491,1787558775.876609
87,27.37140655517578,6.6242218017578125,33.995628356933594,1787558775.8891766,1787558775.8958008
88,45.73488235473633,19.960880279541016,65.69576263427734,1787558775.9362907,1787558775.9562516
89,30.176401138305664,20.572662353515625,50.74906349182129,1787558775.9561663,1787558775.976739
90,42.81473159790039,16.57581329345703,59.39054489135742,1787558775.9994383,1787558776.016014
91,32.917022705078125,12.719154357910156,45.63617706298828,1787558776.0233781,1787558776.0360973
92,45.26925086975098,5.837440490722656,51.10669136047363,1787558776.0702746,1787558776.076112
93,31.41331672668457,4.2667388916015625,35.68005561828613,1787558776.0917666,1787558776.0960333
94,42.31834411621094,1.300811767578125,43.61915588378906,1787558776.1348333,1787558776.1361341
95,29.803752899169922,20.121335983276367,49.92508888244629,1787558776.1560967,1787558776.176218
96,43.66040229797363,11.829137802124023,55.489540100097656,1787558776.2043552,1787558776.2161844
97,29.4952392578125,11.261940002441406,40.757179260253906,1787558776.224889,1787558776.236151
98,42.87838935852051,6.948709487915039,49.82709884643555,1787558776.269213,1787558776.2761617
99,28.92613410949707,6.432771682739258,35.35890579223633,1787558776.2894886,1787558776.2959213
100,43.39742660522461,19.421100616455078,62.81852722167969,1787558776.3366702,1787558776.3560913
101,27.205228805541992,18.65983009338379,45.86505889892578,1787558776.3574302,1787558776.37609
102,43.4873104095459,15.321493148803711,58.80880355834961,1787558776.4006677,1787558776.4159892
103,28.24234962463379,14.58597183227539,42.82832145690918,1787558776.4214659,1787558776.4360518
104,42.945146560668945,8.650779724121094,51.59592628479004,1787558776.4679532,1787558776.476604
105,28.919696807861328,6.883859634399414,35.80355644226074,1787558776.4890316,1787558776.4959154
106,43.86019706726074,19.765138626098633,63.625335693359375,1787558776.5364468,1787558776.556212
107,29.073476791381836,20.108461380004883,49.18193817138672,1787558776.5565348,1787558776.5766432
108,42.882442474365234,15.355110168457031,58.237552642822266,1787558776.6007326,1787558776.6160877
109,28.954505920410156,14.859676361083984,43.81418228149414,1787558776.62138,1787558776.6362398
110,42.53220558166504,8.78000259399414,51.31220817565918,1787558776.668145,1787558776.676925
111,32.22370147705078,5.435705184936523,37.659406661987305,1787558776.6905525,1787558776.6959882
112,46.01788520812988,18.077611923217773,64.09549713134766,1787558776.738099,1787558776.7561767
113,31.497955322265625,17.95482635498047,49.452781677246094,1787558776.7581506,1787558776.7761054
114,42.66619682312012,14.580726623535156,57.24692344665527,1787558776.8015227,1787558776.8161035
115,26.015758514404297,15.454769134521484,41.47052764892578,1787558776.8206177,1787558776.8360724
116,40.88091850280762,9.852409362792969,50.733327865600586,1787558776.8669138,1787558776.8767662
117,28.15532684326172,8.69607925415039,36.85140609741211,1787558776.8870888,1787558776.8957849
118,41.559457778930664,3.050565719604492,44.610023498535156,1787558776.9327188,1787558776.9357693
119,29.233217239379883,2.241849899291992,31.475067138671875,1787558776.953466,1787558776.9557078
120,40.33493995666504,19.237518310546875,59.572458267211914,1787558776.996738,1787558777.0159755
121,26.86333656311035,19.086837768554688,45.95017433166504,1787558777.016831,1787558777.0359178
122,40.82512855529785,11.227607727050781,52.05273628234863,1787558777.0646129,1787558777.0758405
123,29.04224395751953,10.648727416992188,39.69097137451172,1787558777.0851686,1787558777.0958173
124,41.47815704345703,3.3309459686279297,44.80910301208496,1787558777.1322665,1787558777.1355975
